"table_name","column_name","data_type"
"payment_requests","id","uuid"
"payment_requests","user_id","uuid"
"payment_requests","requested_amount","numeric"
"payment_requests","bank_name","character varying"
"payment_requests","bank_account_number","character varying"
"payment_requests","bank_account_name","character varying"
"payment_requests","bank_branch","character varying"
"payment_requests","status","character varying"
"payment_requests","notes","text"
"payment_requests","admin_id","uuid"
"payment_requests","admin_notes","text"
"payment_requests","transaction_reference","character varying"
"payment_requests","created_at","timestamp without time zone"
"payment_requests","confirmed_at","timestamp without time zone"
"payment_requests","paid_at","timestamp without time zone"
"payment_requests","rejected_at","timestamp without time zone"
"payment_requests","updated_at","timestamp without time zone"
"payment_requests","payment_account_id","integer"
"payment_requests","cancelled_at","timestamp with time zone"
"payment_requests","cancelled_by","uuid"
"payment_requests","cancellation_reason","text"
"payment_requests","bank_account_number_encrypted","text"
"payment_requests","bank_account_number_hash","text"
"payment_requests","bank_account_name_encrypted","text"
"payment_requests","encryption_version","integer"
"payment_requests","last_decrypted_at","timestamp with time zone"
"payment_requests","last_decrypted_by","uuid"
"payment_requests","decrypt_count","integer"
"payment_requests","resubmitted_at","timestamp with time zone"
"system_conversions","id","uuid"
"system_conversions","at_conversion_id","uuid"
"system_conversions","user_id","uuid"
"system_conversions","click_id","uuid"
"system_conversions","merchant_id","character varying"
"system_conversions","merchant_name","character varying"
"system_conversions","order_code","character varying"
"system_conversions","order_amount","numeric"
"system_conversions","commission","numeric"
"system_conversions","cashback_amount","numeric"
"system_conversions","status","USER-DEFINED"
"system_conversions","order_time","timestamp without time zone"
"system_conversions","approval_time","timestamp without time zone"
"system_conversions","matched_at","timestamp without time zone"
"system_conversions","created_at","timestamp without time zone"
"system_conversions","updated_at","timestamp without time zone"
"system_conversions","system_reconciliation_status","character varying"
"system_conversions","system_reconciliation_id","uuid"
"system_conversions","system_reconciled_at","timestamp with time zone"
"system_conversions","payment_status","character varying"
"system_conversions","payment_request_id","uuid"
"system_conversions","payment_linked_at","timestamp with time zone"
"system_reconciliation_items","id","uuid"
"system_reconciliation_items","system_reconciliation_id","uuid"
"system_reconciliation_items","conversion_id","uuid"
"system_reconciliation_items","user_id","uuid"
"system_reconciliation_items","merchant_id","character varying"
"system_reconciliation_items","merchant_name","character varying"
"system_reconciliation_items","order_time","timestamp with time zone"
"system_reconciliation_items","approval_time","timestamp with time zone"
"system_reconciliation_items","order_value","numeric"
"system_reconciliation_items","commission_amount","numeric"
"system_reconciliation_items","cashback_amount","numeric"
"system_reconciliation_items","conversion_status","character varying"
"system_reconciliation_items","api_reconciled","boolean"
"system_reconciliation_items","api_reconciliation_id","uuid"
"system_reconciliation_items","is_high_risk","boolean"
"system_reconciliation_items","risk_score","numeric"
"system_reconciliation_items","risk_notes","text"
"system_reconciliation_items","created_at","timestamp with time zone"
"system_reconciliation_items","reconciled_at","timestamp with time zone"
